0,us-gaap:LossContingencyDamagesAwardedValue,128
1,us-gaap:ContractWithCustomerLiabilityCurrent,182
2,us-gaap:IncomeTaxReconciliationChangeInEnactedTaxRate,123
3,us-gaap:StatutoryAccountingPracticesStatutoryAmountAvailableForDividendPaymentsWithoutRegulatoryApproval,43
4,us-gaap:DeconsolidationGainOrLossAmount,51
5,us-gaap:DisposalGroupIncludingDiscontinuedOperationConsideration,264
6,us-gaap:PaymentsToAcquirePropertyPlantAndEquipment,51
7,us-gaap:ConversionOfStockSharesIssued1,48
8,us-gaap:ShareBasedCompensationArrangementByShareBasedPaymentAwardEquityInstrumentsOtherThanOptionsNonvestedWeightedAverageGrantDateFairValue,138
9,us-gaap:PublicUtilitiesApprovedRateIncreaseDecreaseAmount,137
10,us-gaap:GeneralAndAdministrativeExpense,36
11,us-gaap:PartnersCapitalAccountUnitsRedeemed,7
12,us-gaap:ComprehensiveIncomeNetOfTax,22
13,us-gaap:UnrecognizedTaxBenefitsInterestOnIncomeTaxesAccrued,271
14,us-gaap:DeferredCompensationArrangementWithIndividualCompensationExpense,147
15,us-gaap:LineOfCreditFacilityInterestRateDuringPeriod,136
16,us-gaap:CumulativeEffectOfNewAccountingPrincipleInPeriodOfAdoption,233
17,us-gaap:StockRepurchaseProgramNumberOfSharesAuthorizedToBeRepurchased,131
18,us-gaap:LitigationSettlementAmountAwardedFromOtherParty,87
19,us-gaap:RelatedPartyTransactionSellingGeneralAndAdministrativeExpensesFromTransactionsWithRelatedParty,32
20,us-gaap:DerivativeAssetsNoncurrent,16
21,us-gaap:EquityMethodInvestmentOtherThanTemporaryImpairment,236
22,us-gaap:LaborAndRelatedExpense,25
23,us-gaap:ProceedsFromIssuanceOfDebt,110
24,us-gaap:ShareBasedCompensationArrangementByShareBasedPaymentAwardDiscountFromMarketPricePurchaseDate,83
25,us-gaap:DerivativeLiabilitiesCurrent,18
26,us-gaap:NonoperatingIncomeExpense,27
27,us-gaap:DeferredFinanceCostsNet,224
28,us-gaap:EmployeeServiceShareBasedCompensationAllocationOfRecognizedPeriodCostsCapitalizedAmount,202
29,us-gaap:EquitySecuritiesFvNi,157
30,us-gaap:AreaOfLand,49
31,us-gaap:BusinessAcquisitionEquityInterestsIssuedOrIssuableNumberOfSharesIssued,181
32,us-gaap:TreasuryStockRetiredCostMethodAmount,57
33,us-gaap:TaxCreditCarryforwardValuationAllowance,119
34,us-gaap:RelatedPartyTransactionDueFromToRelatedParty,39
35,us-gaap:DeferredRevenueRevenueRecognized1,41
36,us-gaap:CostOfGoodsAndServiceExcludingDepreciationDepletionAndAmortization,10
37,us-gaap:FiniteLivedIntangibleAssetsAmortizationExpenseYearFour,171
38,us-gaap:LoansReceivableFairValueDisclosure,73
39,us-gaap:SalesTypeLeaseInterestIncomeLeaseReceivable,8
40,us-gaap:UnrecordedUnconditionalPurchaseObligationBalanceSheetAmount,128
41,us-gaap:LitigationSettlementAmountAwardedToOtherParty,211
42,us-gaap:DerivativeCollateralRightToReclaimCash,67
43,us-gaap:EscrowDeposit,51
44,us-gaap:DefinedContributionPlanMaximumAnnualContributionsPerEmployeePercent,181
45,us-gaap:IndefiniteLivedIntangibleAssetsExcludingGoodwill,140
46,us-gaap:DebtInstrumentPeriodicPaymentPrincipal,43
47,us-gaap:GoodwillAndIntangibleAssetImpairment,68
48,us-gaap:DerivativeAssetNotionalAmount,97
49,us-gaap:ProceedsFromSaleOfRealEstate,58
50,us-gaap:CededPremiumsEarned,24
51,us-gaap:RestructuringAndRelatedCostCostIncurredToDate1,172
52,us-gaap:PublicUtilitiesRequestedReturnOnEquityPercentage,61
53,us-gaap:NotesPayable,30
54,us-gaap:ImpairmentOfIntangibleAssetsIndefinitelivedExcludingGoodwill,251
55,us-gaap:RestructuringAndRelatedCostNumberOfPositionsEliminated,75
